pzn;categories;enabled;family;parent;groups;X_SELL-groups;X_SELL-products;X_SELL-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;PACK-groups;PACK-products;PACK-product_models;setzugehoerigkeit-groups;setzugehoerigkeit-products;setzugehoerigkeit-product_models;ean_gtin
03851862;all_articles,erkaeltung0husten0hustenbonbons0pulmoll;1;abda_artikel;;;;;;;;;;;;;;;;;;04002590140933
11084017;all_articles,verhuetungsmittel;1;abda_artikel;;;;;;;;;;;;;;;;;;04008600231974
07720335;all_articles,venenleiden;1;abda_artikel;;;;;;;;;;;;;;;;;;04028393020593
01264592;all_articles,corona0shop0desinfektion0flaechendesinfektionsmittel;1;abda_artikel;3344566900;3344566900;;;;;;;;;;;;;;;;07612449043055
04637585;all_articles,kind0und0familie0baby0und0kind0speziell0fuer0kinder;1;abda_artikel;3350967600;;;;;;;;;;;;;;;;;04021901375857
05376460;all_articles,haus0reiseapotheke0thermometer0zubehoer,seo0digitales0fieberthermometer;1;abda_artikel;;;;;;;;;;;;;;;;;;04015672104914
00034772;all_articles,leber0und0galle0artischocke0tee;1;abda_artikel;;;;;;;;;;;;;;;;;;04016883707734
03816009;all_articles,kind0und0familie0baby0und0kind0kinderapotheke0schnupfen0ohrenschmerzen0nasensauger,schnupfen0und0sinusitis0produkte;1;abda_artikel;;;;;;;;;;;;;;;;;;05998321500178
08711634;all_articles,eiweissshakes0low0carb;1;abda_artikel;;;;;;;;;;;;;;;;;;04260197310740
15293433;all_articles,gesichtspflege0dekorative0kosmetik0makeup0foundation,vichy0makeup;1;abda_artikel;;;;;;;;;;;;;;;;;;03337875641906
12489704;all_articles,kind0und0familie0baby0und0kind0baby0zahnen0und0zahnpflege0zahnbuerste,kind0und0familie0baby0und0kind0speziell0fuer0kinder,mund0und0zaehne0kinderzahnpflege0babyzahnpflege0baby0zahnbuerste;1;abda_artikel;;;;;;;;;;;;;;;;;;08058664022618
01844042;all_articles,kind0und0familie0haushalt0bonbons;1;abda_artikel;;;;;;;;;;;;;;;;;;04031673100571
01270322;all_articles,diabetes0ernaehrung0traubenzucker0bloc,kind0und0familie0haushalt0bonbons;1;abda_artikel;;;;;;;;;;;;;;;;;;00000090216367
07239744;all_articles,kind0und0familie0baby0und0kind0kinderhygiene0kindercreme,sprechstundenbedarf0berufe0hebamme0buebchen;1;abda_artikel;;;;;;;;;;;;;;;;;;04065331000033
02582578;all_articles,hand0und0nagelpflege0handpflege0handcreme0trockene0haende,handcreme0nach0marken0neutrogena,handcreme0parfuemfrei,handcreme0rissige0haende;1;abda_artikel;;;;;;;;;;;;;;;;;;08002110383709
